"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB10mA_ss4_1","f__SM23-61","A","A_ss4_1",2721
"FLB10mA_ss4_2a","f__SM23-61","A","A_ss4_2",2592
"FLB10mA_ss4_2b","f__SM23-61","A","A_ss4_2",1798
"FLB10mA_ss4_3a","f__SM23-61","A","A_ss4_3",1904
"FLB10mA_ss4_3b","f__SM23-61","A","A_ss4_3",913
"FLB10mB_ss4_1","f__SM23-61","B","B_ss4_1",3209
"FLB10mB_ss4_2a","f__SM23-61","B","B_ss4_2",6176
"FLB10mB_ss4_2b","f__SM23-61","B","B_ss4_2",4535
"FLB10mB_ss4_3a","f__SM23-61","B","B_ss4_3",6263
"FLB10mB_ss4_3b","f__SM23-61","B","B_ss4_3",4550
"FLB10mSdA_ss4_1","f__SM23-61","dA","dA_ss4_1",5697
"FLB10mSdA_ss4_2a","f__SM23-61","dA","dA_ss4_2",2893
"FLB10mSdA_ss4_2b","f__SM23-61","dA","dA_ss4_2",4248
"FLB12mA_ss4_1","f__SM23-61","A","A_ss4_1",1590
"FLB13mNB_ss4_1","f__SM23-61","B","B_ss4_1",1297
"FLB16mNdA_ss4_1","f__SM23-61","dA","dA_ss4_1",1165
"FLB16mNdA_ss4_2a","f__SM23-61","dA","dA_ss4_2",1530
"FLB16mNdA_ss4_2b","f__SM23-61","dA","dA_ss4_2",1705
"FLB16mNdB_ss4_1","f__SM23-61","dB","dB_ss4_1",315
"FLB16mNdB_ss4_2","f__SM23-61","dB","dB_ss4_2",3787
"FLB16mNuA_ss4_1","f__SM23-61","uA","uA_ss4_1",7594
"FLB16mNuA_ss4_2","f__SM23-61","uA","uA_ss4_2",1964
"FLB16mNuA_ss4_3","f__SM23-61","uA","uA_ss4_3",717
"FLB16mNuA_ss4_4","f__SM23-61","uA","uA_ss4_4",781
"FLB34mA_ss4_1","f__SM23-61","A","A_ss4_1",2161
"FLB38mA_ss4_1","f__SM23-61","A","A_ss4_1",1472
"FLB38mA_ss4_2a","f__SM23-61","A","A_ss4_2",5401
"FLB38mA_ss4_2b","f__SM23-61","A","A_ss4_2",3832
"FLB38mB_ss4_1","f__SM23-61","B","B_ss4_1",1778
"FLB45mA_ss4_1","f__SM23-61","A","A_ss4_1",1403
"FLB45mA_ss4_2","f__SM23-61","A","A_ss4_2",5355
"FLB45mB_ss4_1","f__SM23-61","B","B_ss4_1",1422
"FLB45mB_ss4_2","f__SM23-61","B","B_ss4_2",2056
"FLB57muA_ss4_1","f__SM23-61","uA","uA_ss4_1",64
"FLB00mA_ss4_1","f__CGMCC-115725","A","A_ss4_1",1332
"FLB00mA_ss4_2a","f__CGMCC-115725","A","A_ss4_2",3295
"FLB00mA_ss4_2b","f__CGMCC-115725","A","A_ss4_2",3684
"FLB00mB_ss4_1","f__CGMCC-115725","B","B_ss4_1",973
"FLB01mA_ss4_1","f__CGMCC-115725","A","A_ss4_1",6402
"FLB01mB_ss4_1","f__CGMCC-115725","B","B_ss4_1",2619
"FLB03mA_ss4_1","f__CGMCC-115725","A","A_ss4_1",6457
"FLB03mA_ss4_2","f__CGMCC-115725","A","A_ss4_2",1779
"FLB05mA_ss4_1","f__CGMCC-115725","A","A_ss4_1",1482
"FLB05mA_ss4_2","f__CGMCC-115725","A","A_ss4_2",2562
"FLB05mB_ss4_1","f__CGMCC-115725","B","B_ss4_1",3571
"FLB05mB_ss4_2a","f__CGMCC-115725","B","B_ss4_2",2658
"FLB05mB_ss4_2b","f__CGMCC-115725","B","B_ss4_2",2895
"FLB05mB_ss4_3a","f__CGMCC-115725","B","B_ss4_3",2152
"FLB05mB_ss4_3b","f__CGMCC-115725","B","B_ss4_3",2040
"FLB06mA_ss4_1","f__CGMCC-115725","A","A_ss4_1",1419
"FLB06mA_ss4_2","f__CGMCC-115725","A","A_ss4_2",1250
"FLB06mB_ss4_1","f__CGMCC-115725","B","B_ss4_1",8349
"FLB06mB_ss4_2a","f__CGMCC-115725","B","B_ss4_2",5511
"FLB06mB_ss4_2b","f__CGMCC-115725","B","B_ss4_2",6973
"FLB08mA_ss4_1","f__CGMCC-115725","A","A_ss4_1",9615
"FLB08mA_ss4_2b","f__CGMCC-115725","A","A_ss4_2",3696
"FLB08mB_ss4_1","f__CGMCC-115725","B","B_ss4_1",797
"FLB08mB_ss4_2a","f__CGMCC-115725","B","B_ss4_2a",3048
"FLB10mA_ss4_1","f__CGMCC-115725","A","A_ss4_1",1180
"FLB10mA_ss4_2a","f__CGMCC-115725","A","A_ss4_2",773
"FLB10mA_ss4_2b","f__CGMCC-115725","A","A_ss4_2",585
"FLB10mA_ss4_3a","f__CGMCC-115725","A","A_ss4_3",621
"FLB10mA_ss4_3b","f__CGMCC-115725","A","A_ss4_3",311
"FLB10mB_ss4_1","f__CGMCC-115725","B","B_ss4_1",1036
"FLB10mB_ss4_2a","f__CGMCC-115725","B","B_ss4_2",2446
"FLB10mB_ss4_2b","f__CGMCC-115725","B","B_ss4_2",1843
"FLB10mB_ss4_3a","f__CGMCC-115725","B","B_ss4_3",1794
"FLB10mB_ss4_3b","f__CGMCC-115725","B","B_ss4_3",1273
"FLB10mSdA_ss4_1","f__CGMCC-115725","dA","dA_ss4_1",2609
"FLB10mSdA_ss4_2a","f__CGMCC-115725","dA","dA_ss4_2",1449
"FLB10mSdA_ss4_2b","f__CGMCC-115725","dA","dA_ss4_2",2115
"FLB12mA_ss4_1","f__CGMCC-115725","A","A_ss4_1",554
"FLB13mNB_ss4_1","f__CGMCC-115725","B","B_ss4_1",1034
"FLB16mNdA_ss4_1","f__CGMCC-115725","dA","dA_ss4_1",1231
"FLB16mNdA_ss4_2a","f__CGMCC-115725","dA","dA_ss4_2",811
"FLB16mNdA_ss4_2b","f__CGMCC-115725","dA","dA_ss4_2",921
"FLB16mNdB_ss4_1","f__CGMCC-115725","dB","dB_ss4_1",128
"FLB16mNdB_ss4_2","f__CGMCC-115725","dB","dB_ss4_2",3344
"FLB16mNuA_ss4_1","f__CGMCC-115725","uA","uA_ss4_1",2532
"FLB16mNuA_ss4_2","f__CGMCC-115725","uA","uA_ss4_2",1137
"FLB16mNuA_ss4_3","f__CGMCC-115725","uA","uA_ss4_3",365
"FLB16mNuA_ss4_4","f__CGMCC-115725","uA","uA_ss4_4",462
"FLB34mA_ss4_1","f__CGMCC-115725","A","A_ss4_1",479
"FLB38mA_ss4_1","f__CGMCC-115725","A","A_ss4_1",733
"FLB38mA_ss4_2a","f__CGMCC-115725","A","A_ss4_2",2783
"FLB38mA_ss4_2b","f__CGMCC-115725","A","A_ss4_2",2009
"FLB38mB_ss4_1","f__CGMCC-115725","B","B_ss4_1",1010
"FLB45mA_ss4_1","f__CGMCC-115725","A","A_ss4_1",341
"FLB45mA_ss4_2","f__CGMCC-115725","A","A_ss4_2",2561
"FLB45mB_ss4_1","f__CGMCC-115725","B","B_ss4_1",1050
"FLB45mB_ss4_2","f__CGMCC-115725","B","B_ss4_2",1287
"FLB57muA_ss4_1","f__CGMCC-115725","uA","uA_ss4_1",3
"FLB00mA_ss4_1","f__Methanospirillaceae","A","A_ss4_1",2361
"FLB00mA_ss4_2a","f__Methanospirillaceae","A","A_ss4_2",330
"FLB00mA_ss4_2b","f__Methanospirillaceae","A","A_ss4_2",379
"FLB00mB_ss4_1","f__Methanospirillaceae","B","B_ss4_1",1499
"FLB01mA_ss4_1","f__Methanospirillaceae","A","A_ss4_1",148
"FLB01mB_ss4_1","f__Methanospirillaceae","B","B_ss4_1",577
"FLB03mA_ss4_1","f__Methanospirillaceae","A","A_ss4_1",1818
"FLB03mA_ss4_2","f__Methanospirillaceae","A","A_ss4_2",450
"FLB05mA_ss4_1","f__Methanospirillaceae","A","A_ss4_1",91
"FLB05mA_ss4_2","f__Methanospirillaceae","A","A_ss4_2",151
"FLB05mB_ss4_1","f__Methanospirillaceae","B","B_ss4_1",156
"FLB05mB_ss4_2a","f__Methanospirillaceae","B","B_ss4_2",61
"FLB05mB_ss4_2b","f__Methanospirillaceae","B","B_ss4_2",87
"FLB05mB_ss4_3a","f__Methanospirillaceae","B","B_ss4_3",82
"FLB05mB_ss4_3b","f__Methanospirillaceae","B","B_ss4_3",85
"FLB06mA_ss4_1","f__Methanospirillaceae","A","A_ss4_1",126
"FLB06mA_ss4_2","f__Methanospirillaceae","A","A_ss4_2",68
"FLB06mB_ss4_1","f__Methanospirillaceae","B","B_ss4_1",1114
"FLB06mB_ss4_2a","f__Methanospirillaceae","B","B_ss4_2",556
"FLB06mB_ss4_2b","f__Methanospirillaceae","B","B_ss4_2",749
"FLB08mA_ss4_1","f__Methanospirillaceae","A","A_ss4_1",5272
"FLB08mA_ss4_2b","f__Methanospirillaceae","A","A_ss4_2",576
"FLB08mB_ss4_1","f__Methanospirillaceae","B","B_ss4_1",178
"FLB08mB_ss4_2a","f__Methanospirillaceae","B","B_ss4_2a",502
"FLB10mA_ss4_1","f__Methanospirillaceae","A","A_ss4_1",137
"FLB10mA_ss4_2a","f__Methanospirillaceae","A","A_ss4_2",246
"FLB10mA_ss4_2b","f__Methanospirillaceae","A","A_ss4_2",185
"FLB10mA_ss4_3a","f__Methanospirillaceae","A","A_ss4_3",127
"FLB10mA_ss4_3b","f__Methanospirillaceae","A","A_ss4_3",69
"FLB10mB_ss4_1","f__Methanospirillaceae","B","B_ss4_1",497
"FLB10mB_ss4_2a","f__Methanospirillaceae","B","B_ss4_2",983
"FLB10mB_ss4_2b","f__Methanospirillaceae","B","B_ss4_2",746
"FLB10mB_ss4_3a","f__Methanospirillaceae","B","B_ss4_3",1122
"FLB10mB_ss4_3b","f__Methanospirillaceae","B","B_ss4_3",814
"FLB10mSdA_ss4_1","f__Methanospirillaceae","dA","dA_ss4_1",1041
"FLB10mSdA_ss4_2a","f__Methanospirillaceae","dA","dA_ss4_2",549
"FLB10mSdA_ss4_2b","f__Methanospirillaceae","dA","dA_ss4_2",804
"FLB12mA_ss4_1","f__Methanospirillaceae","A","A_ss4_1",697
"FLB13mNB_ss4_1","f__Methanospirillaceae","B","B_ss4_1",1186
"FLB16mNdA_ss4_1","f__Methanospirillaceae","dA","dA_ss4_1",755
"FLB16mNdA_ss4_2a","f__Methanospirillaceae","dA","dA_ss4_2",719
"FLB16mNdA_ss4_2b","f__Methanospirillaceae","dA","dA_ss4_2",774
"FLB16mNdB_ss4_1","f__Methanospirillaceae","dB","dB_ss4_1",73
"FLB16mNdB_ss4_2","f__Methanospirillaceae","dB","dB_ss4_2",4512
"FLB16mNuA_ss4_1","f__Methanospirillaceae","uA","uA_ss4_1",3243
"FLB16mNuA_ss4_2","f__Methanospirillaceae","uA","uA_ss4_2",478
"FLB16mNuA_ss4_3","f__Methanospirillaceae","uA","uA_ss4_3",173
"FLB16mNuA_ss4_4","f__Methanospirillaceae","uA","uA_ss4_4",209
"FLB34mA_ss4_1","f__Methanospirillaceae","A","A_ss4_1",1160
"FLB38mA_ss4_1","f__Methanospirillaceae","A","A_ss4_1",1993
"FLB38mA_ss4_2a","f__Methanospirillaceae","A","A_ss4_2",9882
"FLB38mA_ss4_2b","f__Methanospirillaceae","A","A_ss4_2",6933
"FLB38mB_ss4_1","f__Methanospirillaceae","B","B_ss4_1",1684
"FLB45mA_ss4_1","f__Methanospirillaceae","A","A_ss4_1",1186
"FLB45mA_ss4_2","f__Methanospirillaceae","A","A_ss4_2",12265
"FLB45mB_ss4_1","f__Methanospirillaceae","B","B_ss4_1",3315
"FLB45mB_ss4_2","f__Methanospirillaceae","B","B_ss4_2",5216
"FLB57muA_ss4_1","f__Methanospirillaceae","uA","uA_ss4_1",362
"FLB00mA_ss4_1","f__Syntrophorhabdaceae","A","A_ss4_1",3520
"FLB00mA_ss4_2a","f__Syntrophorhabdaceae","A","A_ss4_2",1034
"FLB00mA_ss4_2b","f__Syntrophorhabdaceae","A","A_ss4_2",1218
"FLB00mB_ss4_1","f__Syntrophorhabdaceae","B","B_ss4_1",2362
"FLB01mA_ss4_1","f__Syntrophorhabdaceae","A","A_ss4_1",121
"FLB01mB_ss4_1","f__Syntrophorhabdaceae","B","B_ss4_1",652
"FLB03mA_ss4_1","f__Syntrophorhabdaceae","A","A_ss4_1",1998
"FLB03mA_ss4_2","f__Syntrophorhabdaceae","A","A_ss4_2",223
"FLB05mA_ss4_1","f__Syntrophorhabdaceae","A","A_ss4_1",215
"FLB05mA_ss4_2","f__Syntrophorhabdaceae","A","A_ss4_2",355
"FLB05mB_ss4_1","f__Syntrophorhabdaceae","B","B_ss4_1",195
"FLB05mB_ss4_2a","f__Syntrophorhabdaceae","B","B_ss4_2",210
"FLB05mB_ss4_2b","f__Syntrophorhabdaceae","B","B_ss4_2",236
"FLB05mB_ss4_3a","f__Syntrophorhabdaceae","B","B_ss4_3",143
"FLB05mB_ss4_3b","f__Syntrophorhabdaceae","B","B_ss4_3",138
"FLB06mA_ss4_1","f__Syntrophorhabdaceae","A","A_ss4_1",309
