"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB38mB_ss4_1","Pedicularis","B","B_ss4_1",5
"FLB45mA_ss4_1","Pedicularis","A","A_ss4_1",4
"FLB45mA_ss4_2","Pedicularis","A","A_ss4_2",3
"FLB45mB_ss4_1","Pedicularis","B","B_ss4_1",1
"FLB45mB_ss4_2","Pedicularis","B","B_ss4_2",0
"FLB57muA_ss4_1","Pedicularis","uA","uA_ss4_1",0
"FLB00mA_ss4_1","Equisetum","A","A_ss4_1",333
"FLB00mA_ss4_2a","Equisetum","A","A_ss4_2",860
"FLB00mA_ss4_2b","Equisetum","A","A_ss4_2",995
"FLB00mB_ss4_1","Equisetum","B","B_ss4_1",32
"FLB01mA_ss4_1","Equisetum","A","A_ss4_1",44
"FLB01mB_ss4_1","Equisetum","B","B_ss4_1",30
"FLB03mA_ss4_1","Equisetum","A","A_ss4_1",156
"FLB03mA_ss4_2","Equisetum","A","A_ss4_2",46
"FLB05mA_ss4_1","Equisetum","A","A_ss4_1",34
"FLB05mA_ss4_2","Equisetum","A","A_ss4_2",50
"FLB05mB_ss4_1","Equisetum","B","B_ss4_1",27
"FLB05mB_ss4_2a","Equisetum","B","B_ss4_2",18
"FLB05mB_ss4_2b","Equisetum","B","B_ss4_2",13
"FLB05mB_ss4_3a","Equisetum","B","B_ss4_3",20
"FLB05mB_ss4_3b","Equisetum","B","B_ss4_3",21
"FLB06mA_ss4_1","Equisetum","A","A_ss4_1",44
"FLB06mA_ss4_2","Equisetum","A","A_ss4_2",50
"FLB06mB_ss4_1","Equisetum","B","B_ss4_1",166
"FLB06mB_ss4_2a","Equisetum","B","B_ss4_2",110
"FLB06mB_ss4_2b","Equisetum","B","B_ss4_2",151
"FLB08mA_ss4_1","Equisetum","A","A_ss4_1",643
"FLB08mA_ss4_2b","Equisetum","A","A_ss4_2",188
"FLB08mB_ss4_1","Equisetum","B","B_ss4_1",30
"FLB08mB_ss4_2a","Equisetum","B","B_ss4_2a",147
"FLB10mA_ss4_1","Equisetum","A","A_ss4_1",16
"FLB10mA_ss4_2a","Equisetum","A","A_ss4_2",0
