"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB08mA_ds1_1","f__Methanospirillaceae","A","A_ds1_1",2046
"FLB08mA_ds2_1","f__Methanospirillaceae","A","A_ds2_1",2997
"FLB08mA_ds3_1","f__Methanospirillaceae","A","A_ds3_1",6992
"FLB08mB_ds3_1","f__Methanospirillaceae","B","B_ds3_1",1761
"FLB10mA_ds3_1","f__Methanospirillaceae","A","A_ds3_1",159
"FLB10mB_ds3_1","f__Methanospirillaceae","B","B_ds3_1",3884
"FLB10mSdA_ds3_1","f__Methanospirillaceae","dA","dA_ds3_1",1966
"FLB10mSdB_ds3_1","f__Methanospirillaceae","dB","dB_ds3_1",678
"FLB12mA_ds3_1","f__Methanospirillaceae","A","A_ds3_1",1920
"FLB12mB_ds3_1","f__Methanospirillaceae","B","B_ds3_1",926
"FLB13mNA_ds3_1","f__Methanospirillaceae","A","A_ds3_1",2572
"FLB13mNB_ds3_1","f__Methanospirillaceae","B","B_ds3_1",4718
"FLB13mSA_ds2_1","f__Methanospirillaceae","A","A_ds2_1",13
"FLB16mNdA_ds2_1","f__Methanospirillaceae","dA","dA_ds2_1",734
"FLB16mNdA_ds3_1","f__Methanospirillaceae","dA","dA_ds3_1",3026
"FLB16mNdB_ds3_1","f__Methanospirillaceae","dB","dB_ds3_1",8909
"FLB16mNuA_ds2_1","f__Methanospirillaceae","uA","uA_ds2_1",654
"FLB16mNuA_ds3_1","f__Methanospirillaceae","uA","uA_ds3_1",2002
"FLB16mNuB_ds3_1","f__Methanospirillaceae","uB","uB_ds3_1",2590
"FLB18mB_ds3_1","f__Methanospirillaceae","B","B_ds3_1",1713
"FLB38mA_ds2_1","f__Methanospirillaceae","A","A_ds2_1",3835
"FLB38mA_ds3_1","f__Methanospirillaceae","A","A_ds3_1",12209
"FLB38mB_ds3_1","f__Methanospirillaceae","B","B_ds3_1",1911
"FLB45mA_ds2_1","f__Methanospirillaceae","A","A_ds2_1",1109
"FLB45mA_ds3_1","f__Methanospirillaceae","A","A_ds3_1",58205
"FLB45mB_ds3_1","f__Methanospirillaceae","B","B_ds3_1",34343
"FLB54mA_ds3_1","f__Methanospirillaceae","A","A_ds3_1",202
"FLB57mdA_ds2_1","f__Methanospirillaceae","dA","dA_ds2_1",2611
"FLB57mdA_ds2_2","f__Methanospirillaceae","dA","dA_ds2_2",2092
"FLB57mdA_ds3_1","f__Methanospirillaceae","dA","dA_ds3_1",6728
"FLB57mdB_ds3_1","f__Methanospirillaceae","dB","dB_ds3_1",3590
"FLB57muA_ds3_1","f__Methanospirillaceae","uA","uA_ds3_1",25915
"FLB57muB_ds3_1","f__Methanospirillaceae","uB","uB_ds3_1",1582
"FLB00mA_ds3_1","f__Syntrophorhabdaceae","A","A_ds3_1",1026
"FLB00mB_ds3_1","f__Syntrophorhabdaceae","B","B_ds3_1",2578
"FLB01mA_ds2_1","f__Syntrophorhabdaceae","A","A_ds2_1",57
"FLB01mA_ds3_1","f__Syntrophorhabdaceae","A","A_ds3_1",683
"FLB01mB_ds3_1","f__Syntrophorhabdaceae","B","B_ds3_1",436
"FLB03mA_ds3_1","f__Syntrophorhabdaceae","A","A_ds3_1",950
"FLB05mA_ds3_1","f__Syntrophorhabdaceae","A","A_ds3_1",835
"FLB05mB_ds3_1","f__Syntrophorhabdaceae","B","B_ds3_1",222
"FLB06mA_ds3_1","f__Syntrophorhabdaceae","A","A_ds3_1",1658
"FLB06mB_ds3_1","f__Syntrophorhabdaceae","B","B_ds3_1",1023
"FLB08mA_ds1_1","f__Syntrophorhabdaceae","A","A_ds1_1",2498
"FLB08mA_ds2_1","f__Syntrophorhabdaceae","A","A_ds2_1",3155
"FLB08mA_ds3_1","f__Syntrophorhabdaceae","A","A_ds3_1",12964
"FLB08mB_ds3_1","f__Syntrophorhabdaceae","B","B_ds3_1",1007
"FLB10mA_ds3_1","f__Syntrophorhabdaceae","A","A_ds3_1",225
"FLB10mB_ds3_1","f__Syntrophorhabdaceae","B","B_ds3_1",2798
"FLB10mSdA_ds3_1","f__Syntrophorhabdaceae","dA","dA_ds3_1",1818
"FLB10mSdB_ds3_1","f__Syntrophorhabdaceae","dB","dB_ds3_1",727
"FLB12mA_ds3_1","f__Syntrophorhabdaceae","A","A_ds3_1",1258
"FLB12mB_ds3_1","f__Syntrophorhabdaceae","B","B_ds3_1",1659
"FLB13mNA_ds3_1","f__Syntrophorhabdaceae","A","A_ds3_1",4300
"FLB13mNB_ds3_1","f__Syntrophorhabdaceae","B","B_ds3_1",1440
"FLB13mSA_ds2_1","f__Syntrophorhabdaceae","A","A_ds2_1",70
"FLB16mNdA_ds2_1","f__Syntrophorhabdaceae","dA","dA_ds2_1",731
"FLB16mNdA_ds3_1","f__Syntrophorhabdaceae","dA","dA_ds3_1",2214
"FLB16mNdB_ds3_1","f__Syntrophorhabdaceae","dB","dB_ds3_1",6908
"FLB16mNuA_ds2_1","f__Syntrophorhabdaceae","uA","uA_ds2_1",3634
